,_id,reference,question_id,topic_id
0,1,TA101,1,1
2,2,TA102,2,1
4,3,TA103,3,1
6,4,TA104,4,1
8,5,TA201,5,1
10,6,TA202,6,1
12,7,TA203,7,1
14,8,TA204,8,1
16,9,TA205,9,1
18,10,TA206,10,1
20,11,TA207,11,1
22,12,TA208,12,1
24,13,TB101,13,1
26,14,TB102,14,1
28,15,TB103,15,1
30,16,TB104,16,1
32,17,TB105,17,1
34,18,TB201,18,1
36,19,TB202,19,1
38,20,TB203,20,1
40,21,TB204,21,1
42,22,TB205,22,1
44,23,TB301,23,1
46,24,TB302,24,1
48,25,TB303,25,1
50,26,TB401,26,1
52,27,TB402,27,1
54,28,TB403,28,1
56,29,TB404,29,1
58,30,TB405,30,1
60,31,TB501,31,1
62,32,TB502,32,1
64,33,TB503,33,1
66,34,TB504,34,1
68,35,TB505,35,1
70,36,TB601,36,1
72,37,TB602,37,1
74,38,TB603,38,1
76,39,TB604,39,1
78,40,TB605,40,1
80,41,TB606,41,1
82,42,TB607,42,1
84,43,TB608,43,1
86,44,TB609,44,1
88,45,TB610,45,1
90,46,TB611,46,1
92,47,TB612,47,1
94,48,TB613,48,1
96,49,TB701,49,1
98,50,TB702,50,1
100,51,TB801,51,1
102,52,TB802,52,1
104,53,TB803,53,1
106,54,TB804,54,1
108,55,TB805,55,1
110,56,TB806,56,1
112,57,TB901,57,1
114,58,TB902,58,1
116,59,TB903,59,1
118,60,TB904,60,1
120,61,TB905,61,1
122,62,TB906,62,1
124,63,TB907,63,1
126,64,TB908,64,1
128,65,TB909,65,1
130,66,TB910,66,1
132,67,TB911,67,1
134,68,TC101,68,1
136,69,TC102,69,1
138,70,TC103,70,1
140,71,TC104,71,1
142,72,TC105,72,1
144,73,TC106,73,1
146,74,TC107,74,1
148,75,TC108,75,1
150,76,TC109,76,1
152,77,TC110,77,1
154,78,TC111,78,1
156,79,TC201,79,1
158,80,TC202,80,1
160,81,TC203,81,1
162,82,TC204,82,1
164,83,TC205,83,1
166,84,TC206,84,1
168,85,TC207,85,1
170,86,TC208,86,1
172,87,TC301,87,1
174,88,TC302,88,1
176,89,TC303,89,1
178,90,TC304,90,1
180,91,TC305,91,1
182,92,TC306,92,1
184,93,TC401,93,1
186,94,TC402,94,1
188,95,TC403,95,1
190,96,TC501,96,1
192,97,TC502,97,1
194,98,TC503,98,1
196,99,TC504,99,1
198,100,TC505,100,1
200,101,TC506,101,1
202,102,TC507,102,1
204,103,TC508,103,1
206,104,TC509,104,1
208,105,TC601,105,1
210,106,TC602,106,1
212,107,TC603,107,1
214,108,TC604,108,1
216,109,TC605,109,1
218,110,TC606,110,1
220,111,TC607,111,1
222,112,TC608,112,1
224,113,TC609,113,1
226,114,TC610,114,1
228,115,TC611,115,1
230,116,TC612,116,1
232,117,TD101,117,1
234,118,TD102,118,1
236,119,TD103,119,1
238,120,TD104,120,1
240,121,TD105,121,1
242,122,TD106,122,1
244,123,TD107,123,1
246,124,TD108,124,1
248,125,TD109,125,1
250,126,TD110,126,1
252,127,TD201,127,1
254,128,TD202,128,1
256,129,TD203,129,1
258,130,TD204,130,1
260,131,TD205,131,1
262,132,TD206,132,1
264,133,TD207,133,1
266,134,TD208,134,1
268,135,TD209,135,1
270,136,TD210,136,1
272,137,TD301,137,1
274,138,TD302,138,1
276,139,TD303,139,1
278,140,TD304,140,1
280,141,TD305,141,1
282,142,TD306,142,1
284,143,TD401,143,1
286,144,TD402,144,1
288,145,TD403,145,1
290,146,TD404,146,1
292,147,TD405,147,1
294,148,TD501,148,1
296,149,TD502,149,1
298,150,TD503,150,1
300,151,TD504,151,1
302,152,TD601,152,1
304,153,TD602,153,1
306,154,TD603,154,1
308,155,TD604,155,1
310,156,TD605,156,1
312,157,TD606,157,1
314,158,TE101,158,1
316,159,TE102,159,1
318,160,TE103,160,1
320,161,TE104,161,1
322,162,TE105,162,1
324,163,TE106,163,1
326,164,TE201,164,1
328,165,TE202,165,1
330,166,TE203,166,1
332,167,TE204,167,1
334,168,TE301,168,1
336,169,TE302,169,1
338,170,TE303,170,1
340,171,TE304,171,1
342,172,TE305,172,1
344,173,TE306,173,1
346,174,TE307,174,1
348,175,TE308,175,1
350,176,TE309,176,1
352,177,TE310,177,1
354,178,TE311,178,1
356,179,TE312,179,1
358,180,TF101,180,1
360,181,TF102,181,1
362,182,TF103,182,1
364,183,TF104,183,1
366,184,TF105,184,1
368,185,TF106,185,1
370,186,TF107,186,1
372,187,TF108,187,1
374,188,TF109,188,1
376,189,TF110,189,1
378,190,TF201,190,1
380,191,TF202,191,1
382,192,TF203,192,1
384,193,TF204,193,1
386,194,TF205,194,1
388,195,TF301,195,1
390,196,TF302,196,1
392,197,TF303,197,1
394,198,TF401,198,1
396,199,TF402,199,1
398,200,TF403,200,1
400,201,TF404,201,1
402,202,TF405,202,1
404,203,TF406,203,1
406,204,TF407,204,1
408,205,TF408,205,1
410,206,TF409,206,1
412,207,TG101,207,1
414,208,TG102,208,1
416,209,TG103,209,1
418,210,TG104,210,1
420,211,TG105,211,1
422,212,TG201,212,1
424,213,TG202,213,1
426,214,TG203,214,1
428,215,TG301,215,1
430,216,TG302,216,1
432,217,TG303,217,1
434,218,TG304,218,1
436,219,TG305,219,1
438,220,TG306,220,1
440,221,TG307,221,1
442,222,TG401,222,1
444,223,TG402,223,1
446,224,TG403,224,1
448,225,TG404,225,1
450,226,TG405,226,1
452,227,TG501,227,1
454,228,TG502,228,1
456,229,TG503,229,1
458,230,TG504,230,1
460,231,TG505,231,1
462,232,TG506,232,1
464,233,TH101,233,1
466,234,TH102,234,1
468,235,TH103,235,1
470,236,TH104,236,1
472,237,TH105,237,1
474,238,TH106,238,1
476,239,TH107,239,1
478,240,TH108,240,1
480,241,TH109,241,1
482,242,TH110,242,1
484,243,TH111,243,1
486,244,TH112,244,1
488,245,TH113,245,1
490,246,TH201,246,1
492,247,TH202,247,1
494,248,TH203,248,1
496,249,TH204,249,1
498,250,TH205,250,1
500,251,TH206,251,1
502,252,TH207,252,1
504,253,TH208,253,1
506,254,TH209,254,1
508,255,TH210,255,1
510,256,TH301,256,1
512,257,TH302,257,1
514,258,TH303,258,1
516,259,TH304,259,1
518,260,TH305,260,1
520,261,TH306,261,1
522,262,TH307,262,1
524,263,TH308,263,1
526,264,TH309,264,1
528,265,TH310,265,1
530,266,TH311,266,1
